custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
0572-PRUUOP-FD6,Zone 2,3,Female,63,50-64,March,10,Did not complete high school,"Operation, Fabrication, General Labor",No,19,More than 15,No,74,4.3,$50 - $74,10.5,3.4,1.22,4.37,1.47,No,Somewhat satisfied,Married,11,Did not complete high school,3,1,1,0,0,0,0,0,0,Own,Single-family,22,16 to 25,2,Own,Import,44.6,Luxury,No,No,Car,Single occupancy,18,Yes,No,No,No,No,No,0,Yes,0,No,No response,Slightly conservative,No,No,Yes,Mastercard,Gold,None,No,37,5,Other,None,1,No,24,More than 15,10,213.01,3,73.67,No,Oatmeal,70,No,10.4,2.34,727.4,6.59,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,21.75,3.08,1480,7.3,No,0,#NULL!,0,#NULL!,1,No,No,None,No,Yes,No,Yes,No,Yes,19,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No
3982-JGAJOD-JBI,Zone 4,4,Male,66,>65,July,17,College degree,Managerial and Professional,No,10,6 to 10,Yes,13,2.56,Under $25,8,0.47,-0.76,0.57,-0.55,No,Neutral,Married,14,High school degree,2,2,0,0,0,0,2,0,0,Rent,Multiple-Family,20,16 to 25,1,Own,Domestic,7,Economy,No,No,Train/Subway,Public transportation,27,No,No,No,No,Yes,No,0,No,0,No,Convenience,Moderate,Yes,No,No,Mastercard,None,Other,No,38,5,American Express,Gold,Cash back,No,27,More than 15,6,122.54,4,109.54,No,Oatmeal,69,No,29.7,3.39,2097.8,7.65,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,13.5,2.6,920,6.82,No,0,#NULL!,0,#NULL!,1,No,No,None,Yes,Yes,No,No,No,Yes,22,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No
2175-OCFQRY-P3X,Zone 3,3,Male,78,>65,February,16,Some college,Sales and Office,No,1,Less than 2,Yes,15,2.71,Under $25,12.7,1.39,0.33,0.51,-0.67,No,Somewhat satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Own,Condominium/Townhouse,33,More than 25,3,Lease,Import,7.8,Economy,No,Yes,Car,Single occupancy,25,Yes,No,No,Yes,No,No,0,Yes,0,No,No response,Moderate,No,No,No,Visa,Other,Airline miles,No,22,5,Mastercard,Platinum,Other,No,12,11 to 15,9,158.35,3,41.53,No,Oatmeal,52,No,11,2.4,638.15,6.46,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,7.75,2.05,405,6,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,28,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No
4101-QCHMSB-2IJ,Zone 2,4,Male,46,35-49,December,13,High school degree,Service,No,17,More than 15,No,80,4.38,$75 - $124,12.4,2.58,0.95,7.34,1.99,No,Neutral,Married,11,Did not complete high school,4,5,0,0,0,0,0,0,5,Rent,Multiple-Family,17,16 to 25,2,Own,Import,34.9,Standard,No,No,Carpool,Multiple occupancy,27,Yes,No,Yes,No,No,No,0,Yes,0,No,No response,Slightly liberal,No,No,No,Mastercard,None,Airline miles,No,29,5,American Express,Other,1,No,26,More than 15,11,540.38,6,231.18,No,Cereal,55,No,20.75,3.03,1061.4,6.97,1,40.5,3.7,2242.75,7.72,No,0,#NULL!,0,#NULL!,Yes,10.25,2.33,515,6.24,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,No,Yes,Yes,No,Yes,21,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
5489-URHYKZ-4NO,Zone 5,4,Female,44,35-49,May,12,High school degree,Agricultural and Natural Resources,No,9,6 to 10,No,38,3.64,$25 - $49,2.5,0.15,-1.93,0.8,-0.22,No,Somewhat satisfied,Married,8,Did not complete high school,3,8,0,0,0,0,0,0,8,Rent,Multiple-Family,17,16 to 25,1,Own,Import,19.7,Economy,Yes,No,Walk,Non-motorized,29,No,No,No,No,Yes,No,0,Yes,0,No,No response,Moderate,No,No,Yes,American Express,None,Other,No,25,5,Visa,Gold,1,No,22,More than 15,8,468.03,7,457.13,No,Cereal,58,No,10.75,2.37,601.05,6.4,1,28.25,3.34,1640.95,7.4,No,0,#NULL!,0,#NULL!,Yes,24.25,3.19,1425,7.26,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,Yes,Yes,Yes,No,Yes,13,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
2103-ZONULT-ZP5,Zone 4,2,Female,63,50-64,April,11,Did not complete high school,Service,No,18,More than 15,No,55,4.01,$50 - $74,10.1,2,0.69,3.56,1.27,No,Somewhat satisfied,Married,9,Did not complete high school,2,9,2,1,0,0,0,0,6,Own,Single-family,28,More than 25,4,Own,Import,23.4,Standard,No,Yes,Car,Single occupancy,20,Yes,No,Yes,No,No,No,0,No,0,No,No response,Slightly liberal,No,No,No,Visa,Other,Other,Yes,38,5,American Express,None,Other,No,30,More than 15,10,519.37,4,204.01,No,Oatmeal,71,No,23.35,3.15,1678.95,7.43,1,30.5,3.42,2189.25,7.69,No,0,#NULL!,0,#NULL!,Yes,42,3.74,2920,7.98,No,0,#NULL!,0,#NULL!,1,No,No,None,Yes,Yes,Yes,Yes,No,Yes,18,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No
3463-TSMKZK-9CL,Zone 3,2,Male,69,>65,April,14,High school degree,"Operation, Fabrication, General Labor",No,31,More than 15,No,72,4.28,$50 - $74,13.8,6.89,1.93,3.05,1.12,No,Somewhat satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,23,16 to 25,2,Own,Domestic,49,Luxury,Yes,Yes,Car,Single occupancy,35,Yes,No,Yes,Yes,No,No,0,Yes,0,Yes,No response,Moderate,No,No,No,Discover,Other,Other,No,37,5,Visa,None,Airline miles,No,26,More than 15,17,663.29,5,254.93,No,Oatmeal,70,No,23.9,3.17,1642.15,7.4,0,0,#NULL!,0,#NULL!,Yes,28.3,3.34,1918.45,7.56,Yes,6.25,1.83,415,6.03,No,0,#NULL!,0,#NULL!,1,No,No,None,No,No,No,No,No,Yes,19,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
4556-DRFASV-V2R,Zone 3,2,Male,63,50-64,February,11,Did not complete high school,Sales and Office,Yes,6,6 to 10,No,33,3.5,$25 - $49,16,0.2,-1.63,5.08,1.63,Yes,Neutral,Married,15,Some college,2,1,1,0,0,0,0,0,0,Own,Single-family,28,More than 25,3,Own,Import,22.5,Standard,No,No,Car,Single occupancy,32,Yes,No,No,No,No,Yes,0,Yes,0,No,No response,Liberal,No,No,Yes,Mastercard,Other,Other,No,21,5,Other,Gold,1,No,12,11 to 15,12,230.74,4,124.04,No,Oatmeal,30,No,12,2.48,382,5.95,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,24,3.18,630,6.45,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,25,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
6587-FJKMPM-6X5,Zone 5,3,Male,55,50-64,September,11,Did not complete high school,"Precision Production, Craft, Repair",No,22,More than 15,No,129,4.86,$125+,5.2,1.31,0.27,5.39,1.69,No,Neutral,Unmarried,-1,Not married,1,9,0,0,0,0,0,0,9,Own,Single-family,24,16 to 25,1,Own,Import,84.7,Luxury,No,Yes,Other public transit,Public transportation,32,No,No,No,No,No,Yes,0,No,0,No,No response,Moderate,No,No,No,Mastercard,Platinum,Cash back,Yes,37,5,Visa,Other,1,No,27,More than 15,10,202.57,2,43.75,No,Cereal,69,No,24,3.18,1691.4,7.43,1,32,3.47,2259.8,7.72,No,0,#NULL!,0,#NULL!,Yes,15,2.71,1085,6.99,No,0,#NULL!,0,#NULL!,1,No,No,None,No,Yes,Yes,Yes,No,Yes,20,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
0522-IJXYFW-V44,Zone 2,1,Female,49,35-49,April,18,College degree,Managerial and Professional,No,6,6 to 10,No,42,3.74,$25 - $49,6.4,0.71,-0.34,1.98,0.68,No,Somewhat satisfied,Married,17,College degree,4,1,1,0,0,0,0,0,0,Own,Condominium/Townhouse,5,4 to 7,1,Lease,Import,29.1,Standard,Yes,No,Train/Subway,Public transportation,23,No,No,No,Yes,Yes,No,0,No,0,Yes,No response,Liberal,Yes,Yes,Yes,Visa,Other,Cash back,No,20,5,Mastercard,Gold,Other,Yes,16,More than 15,12,239.78,4,67.93,Yes,Oatmeal,42,No,7.4,2,318.9,5.76,1,30.5,3.42,1371.5,7.22,No,0,#NULL!,0,#NULL!,Yes,5.25,1.66,235,5.46,Yes,34.3,3.54,1393.4,7.24,1,No,No,Cable modem,Yes,Yes,Yes,Yes,No,Yes,25,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No
2992-NSIFBO-UZX,Zone 2,5,Female,56,50-64,March,13,High school degree,Sales and Office,Yes,4,2 to 5,No,48,3.87,$25 - $49,17.1,2.56,0.94,5.65,1.73,No,Highly dissatisfied,Unmarried,-1,Not married,1,2,2,0,0,0,0,0,0,Own,Mobile Home,20,16 to 25,2,Lease,Domestic,25.4,Standard,No,No,Car,Single occupancy,25,Yes,No,Yes,Yes,No,No,0,No,1,No,No response,Moderate,No,No,No,Discover,Gold,Cash back,Yes,19,5,Visa,Gold,Airline miles,No,12,11 to 15,11,235.16,4,93.12,Yes,Cereal,43,No,9.3,2.23,413.1,6.02,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,19,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No
9581-XCXMRE-NB1,Zone 1,2,Female,65,>65,October,14,High school degree,Sales and Office,No,5,2 to 5,No,53,3.97,$50 - $74,14.5,1.43,0.36,6.26,1.83,Yes,Somewhat satisfied,Unmarried,-1,Not married,1,1,0,0,1,0,0,0,0,Rent,Single-family,15,8 to 15,1,Own,Import,19.9,Economy,No,No,Carpool,Multiple occupancy,31,No,Yes,Yes,Yes,No,No,0,Yes,0,Yes,Service,Moderate,No,No,No,Mastercard,Other,Other,No,14,4,Visa,Other,Other,No,13,11 to 15,19,381.22,3,55.39,No,Cereal,38,No,10.2,2.32,329,5.8,1,15,2.71,621.95,6.43,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,Yes,DSL,No,No,No,No,No,Yes,24,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
9385-RDQDUL-MJE,Zone 3,4,Female,65,>65,April,10,Did not complete high school,Agricultural and Natural Resources,No,36,More than 15,No,144,4.97,$125+,11.3,4.43,1.49,11.85,2.47,No,Highly satisfied,Unmarried,-1,Not married,1,2,1,1,0,0,0,0,0,Own,Single-family,28,More than 25,2,Own,Domestic,93.3,Luxury,No,Yes,Car,Single occupancy,30,Yes,No,No,No,No,No,0,Yes,0,No,No response,Liberal,No,Yes,Yes,American Express,None,Airline miles,No,32,5,Visa,Platinum,Airline miles,No,23,More than 15,18,958.59,7,338.67,No,Oatmeal,65,No,13.55,2.61,891.75,6.79,1,28.75,3.36,1815.25,7.5,No,0,#NULL!,0,#NULL!,Yes,17.5,2.86,1095,7,No,0,#NULL!,0,#NULL!,0,Yes,No,None,Yes,Yes,Yes,Yes,No,Yes,16,Yes,Yes,Yes,No,No,No,Yes,No,Yes,1,No,No
6045-MIXCAM-NFP,Zone 2,4,Male,53,50-64,May,18,College degree,Sales and Office,No,3,2 to 5,No,35,3.56,$25 - $49,37.5,7.49,2.01,5.63,1.73,Yes,Somewhat dissatisfied,Married,16,Some college,4,0,0,0,0,0,0,0,0,Own,Single-family,14,8 to 15,0,N/A,N/A,-1,N/A,N/A,Yes,Train/Subway,Public transportation,27,No,No,No,No,Yes,No,0,No,0,Yes,No response,Liberal,Yes,No,Yes,American Express,Platinum,Airline miles,No,34,5,Discover,Gold,Other,No,27,More than 15,8,339.53,4,177.53,Yes,Cereal,69,No,31.35,3.45,2091.05,7.65,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,16.75,2.82,1165,7.06,No,0,#NULL!,0,#NULL!,1,Yes,No,Dial-up,Yes,Yes,Yes,No,No,Yes,28,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
5042-SPDHVC-D51,Zone 3,3,Male,25,25-34,November,20,Post-undergraduate degree,Sales and Office,No,0,Less than 2,No,94,4.54,$75 - $124,11.3,2.7,0.99,7.92,2.07,Yes,Highly dissatisfied,Unmarried,-1,Not married,1,6,0,0,0,0,0,0,6,Own,Single-family,5,4 to 7,1,Own,Domestic,54.9,Luxury,Yes,No,Carpool,Multiple occupancy,25,Yes,No,Yes,No,No,No,0,No,0,No,No response,Liberal,Yes,Yes,No,Visa,None,Other,No,7,3,American Express,Other,Airline miles,No,5,2 to 5,9,278.75,6,236.18,No,Cereal,12,Yes,6.1,1.81,71.5,4.27,1,23.25,3.15,260.95,5.56,Yes,46.05,3.83,509,6.23,Yes,11.25,2.42,130,4.87,Yes,54.1,3.99,583.1,6.37,0,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
7211-LHVAPG-Z41,Zone 5,4,Male,76,>65,July,16,Some college,Sales and Office,Yes,14,11 to 15,Yes,17,2.83,Under $25,15.5,0.69,-0.37,1.95,0.67,No,Highly dissatisfied,Married,20,Post-undergraduate degree,2,4,0,0,0,0,0,0,4,Own,Single-family,42,More than 25,0,N/A,N/A,-1,N/A,N/A,Yes,Walk,Non-motorized,27,No,No,No,Yes,No,No,0,Yes,0,No,No response,Slightly liberal,No,No,No,American Express,Other,Cash back,No,38,5,Mastercard,None,Other,No,28,More than 15,18,597.2,6,145.86,No,Cereal,71,No,15.1,2.71,1118.7,7.02,1,33,3.5,2343.5,7.76,No,0,#NULL!,0,#NULL!,Yes,10.25,2.33,715,6.57,No,0,#NULL!,0,#NULL!,1,No,No,Cable modem,Yes,No,No,No,Yes,Yes,22,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No
1992-CMSLJG-YZN,Zone 4,2,Female,62,50-64,October,14,High school degree,Managerial and Professional,No,11,11 to 15,No,65,4.17,$50 - $74,15.4,4.8,1.57,5.21,1.65,No,Neutral,Unmarried,-1,Not married,2,11,4,0,0,0,0,0,7,Own,Condominium/Townhouse,31,More than 25,2,Own,Import,28,Standard,No,No,Car,Single occupancy,27,Yes,No,No,No,No,Yes,0,No,0,No,No response,Slightly liberal,No,No,No,Mastercard,Platinum,Cash back,No,37,5,Visa,Gold,Cash back,No,28,More than 15,9,406.14,5,185.75,No,Cereal,66,No,19.55,2.97,1243.25,7.13,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,14.5,2.67,985,6.89,No,0,#NULL!,0,#NULL!,1,No,No,None,No,No,Yes,No,Yes,Yes,20,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No
8371-YMOQRS-JP1,Zone 3,4,Female,43,35-49,December,9,Did not complete high school,Managerial and Professional,No,12,11 to 15,No,42,3.74,$25 - $49,7.6,1.43,0.36,1.77,0.57,Yes,Neutral,Unmarried,-1,Not married,1,2,2,0,0,0,0,0,0,Rent,Multiple-Family,1,Less than 3,3,Own,Domestic,17.9,Economy,No,Yes,Car,Single occupancy,26,Yes,No,No,Yes,No,No,1,Yes,0,No,Convenience,Moderate,No,No,Yes,Other,Other,Airline miles,Yes,9,3,Visa,Gold,Other,No,9,6 to 10,5,244.17,4,147.55,No,Oatmeal,18,Yes,5.1,1.63,97.25,4.58,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,19.75,2.98,320,5.77,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,No,No,No,No,Yes,21,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
0403-OAVOPU-N5J,Zone 5,5,Male,28,25-34,November,15,Some college,Managerial and Professional,No,3,2 to 5,No,37,3.61,$25 - $49,15.3,0.92,-0.08,4.74,1.56,No,Highly dissatisfied,Married,17,College degree,4,4,0,0,0,0,0,0,4,Own,Single-family,5,4 to 7,1,Own,Domestic,25.1,Standard,Yes,Yes,Walk,Non-motorized,23,No,No,Yes,Yes,No,No,1,Yes,0,No,No response,Conservative,Yes,No,Yes,Discover,Other,Airline miles,Yes,3,2,Visa,Other,1,No,5,2 to 5,10,299.43,3,98.78,Yes,Energy bar,23,Yes,4.65,1.54,92.45,4.53,0,0,#NULL!,0,#NULL!,Yes,19.6,2.98,460.2,6.13,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,1,No,No,Cable modem,No,No,No,No,Yes,Yes,21,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No
5656-JXTEOC-M22,Zone 1,3,Female,23,18-24,April,14,High school degree,Sales and Office,No,0,Less than 2,No,21,3.04,Under $25,9.5,0.34,-1.09,1.66,0.51,No,Somewhat dissatisfied,Unmarried,-1,Not married,1,2,2,0,0,0,0,0,0,Own,Condominium/Townhouse,1,Less than 3,2,Own,Import,10.5,Economy,No,No,Car,Single occupancy,24,Yes,No,Yes,No,No,No,0,Yes,0,No,No response,Moderate,No,No,No,Visa,None,None,Yes,1,1,Other,Other,Other,No,2,2 to 5,9,156.67,2,30.09,Yes,Energy bar,5,Yes,4.15,1.42,22.7,3.12,1,16.5,2.8,84.35,4.43,Yes,33.7,3.52,130.75,4.87,Yes,7.75,2.05,15,2.71,Yes,28.45,3.35,88.2,4.48,1,Yes,Yes,Cable modem,Yes,Yes,Yes,No,Yes,Yes,25,No,Yes,No,No,Yes,Yes,Yes,No,No,1,Yes,No
9527-TCNEKR-HSH,Zone 3,3,Male,48,35-49,June,15,Some college,Sales and Office,No,9,6 to 10,No,33,3.5,$25 - $49,16.7,0.25,-1.39,5.26,1.66,No,Somewhat satisfied,Married,11,Did not complete high school,4,4,1,0,1,0,0,2,0,Own,Mobile Home,19,16 to 25,2,Own,Import,12.5,Economy,No,Yes,Car,Single occupancy,14,Yes,Yes,No,No,No,No,0,No,0,Yes,No response,Slightly liberal,No,No,Yes,American Express,Gold,None,No,21,5,Mastercard,Gold,Airline miles,No,20,More than 15,11,260.05,6,153.65,No,Energy bar,59,No,11.1,2.41,643.7,6.47,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,14.25,2.66,845,6.74,Yes,25.1,3.22,1423.95,7.26,0,Yes,No,Dial-up,Yes,Yes,Yes,Yes,No,Yes,16,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No
9786-YJUVSV-IGV,Zone 2,5,Male,63,50-64,March,9,Did not complete high school,Managerial and Professional,No,19,More than 15,No,71,4.26,$50 - $74,4.4,1.52,0.42,1.6,0.47,No,Highly satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Rent,Multiple-Family,19,16 to 25,2,Own,Domestic,32.1,Standard,No,Yes,Walk,Non-motorized,31,No,No,No,No,No,No,0,Yes,0,Yes,No response,Conservative,No,No,Yes,Mastercard,Platinum,Other,No,31,5,Visa,None,1,No,20,More than 15,11,662.96,7,328.44,Yes,Energy bar,62,No,23.9,3.17,1424.5,7.26,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,Yes,47.25,3.86,2790,7.93,No,0,#NULL!,0,#NULL!,0,No,No,None,No,No,No,No,No,Yes,15,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No
7114-IKKEPT-7SD,Zone 1,5,Female,66,>65,June,15,Some college,Service,No,22,More than 15,Yes,32,3.47,$25 - $49,12.8,1.78,0.58,2.32,0.84,No,Highly satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Rent,Multiple-Family,26,More than 25,2,Own,Import,19,Economy,No,Yes,Bus,Public transportation,42,Yes,No,Yes,Yes,Yes,No,0,Yes,1,No,No response,Moderate,No,No,Yes,Visa,None,None,No,21,5,Mastercard,None,Airline miles,Yes,12,11 to 15,11,301.23,2,28.49,Yes,Oatmeal,37,No,11.75,2.46,439.7,6.09,1,16.25,2.79,600.05,6.4,No,0,#NULL!,0,#NULL!,Yes,14,2.64,485,6.18,Yes,22.55,3.12,785.6,6.67,0,No,No,None,Yes,Yes,Yes,Yes,Yes,Yes,17,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No
0049-BFKAIL-TVF,Zone 3,1,Male,27,25-34,June,17,College degree,Service,No,2,2 to 5,No,135,4.91,$125+,10.5,6.61,1.89,7.57,2.02,Yes,Somewhat dissatisfied,Unmarried,-1,Not married,1,1,1,0,0,0,0,0,0,Own,Single-family,5,4 to 7,3,Own,Import,79.4,Luxury,Yes,No,Car,Single occupancy,21,Yes,Yes,No,No,No,No,0,No,0,No,No response,Slightly liberal,Yes,No,Yes,American Express,Other,Other,No,7,3,Visa,None,Airline miles,No,5,2 to 5,7,903.78,8,798.91,No,Cereal,13,No,4.05,1.4,43.3,3.77,1,30,3.4,386.4,5.96,Yes,38.75,3.66,433.55,6.07,Yes,23.75,3.17,270,5.6,Yes,31.7,3.46,358.95,5.88,1,Yes,Yes,Other,Yes,Yes,Yes,Yes,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
7369-VRGOME-7Q0,Zone 4,5,Female,56,50-64,April,16,Some college,Managerial and Professional,No,9,6 to 10,No,142,4.96,$125+,12.1,9.59,2.26,7.59,2.03,No,Highly satisfied,Married,11,Did not complete high school,2,6,1,0,0,0,0,0,5,Own,Single-family,34,More than 25,2,Own,Import,69.7,Luxury,No,No,Walk,Non-motorized,39,Yes,No,Yes,No,No,No,0,Yes,0,No,No response,Liberal,Yes,No,Yes,Mastercard,Platinum,Cash back,No,17,5,Discover,Platinum,Cash back,Yes,7,6 to 10,13,266.07,0,0,Yes,Energy bar,31,No,13.3,2.59,409.8,6.02,1,24.5,3.2,771.95,6.65,No,0,#NULL!,0,#NULL!,Yes,12.25,2.51,355,5.87,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,Yes,Yes,Yes,No,Yes,20,Yes,Yes,Yes,No,No,No,No,No,No,1,No,No
6246-OOCHWY-D9H,Zone 4,3,Female,42,35-49,November,19,College degree,Sales and Office,No,4,2 to 5,No,56,4.03,$50 - $74,3.4,1.05,0.05,0.85,-0.16,Yes,Somewhat satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Rent,Single-family,12,8 to 15,3,Own,Import,23.9,Standard,Yes,No,Car,Single occupancy,20,Yes,No,No,No,Yes,No,0,Yes,0,No,No response,Moderate,No,Yes,No,Discover,None,Cash back,No,13,4,Mastercard,Platinum,Other,No,7,6 to 10,16,267.59,2,34.26,No,Energy bar,30,Yes,4.5,1.5,130,4.87,1,20,3,563.25,6.33,No,0,#NULL!,0,#NULL!,Yes,14.5,2.67,395,5.98,No,0,#NULL!,0,#NULL!,1,No,No,None,Yes,Yes,Yes,Yes,Yes,Yes,17,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes
3305-VHRSBF-STX,Zone 2,5,Female,35,35-49,April,17,College degree,"Operation, Fabrication, General Labor",Yes,5,2 to 5,No,25,3.22,$25 - $49,1.8,0.32,-1.14,0.13,-2.04,No,Neutral,Unmarried,-1,Not married,1,1,0,1,0,0,0,0,0,Own,Condominium/Townhouse,14,8 to 15,2,Lease,Import,13.9,Economy,No,Yes,Car,Single occupancy,25,Yes,No,Yes,No,No,Yes,0,Yes,0,No,No response,Moderate,Yes,Yes,No,Visa,None,Cash back,No,13,4,American Express,Platinum,Airline miles,Yes,8,6 to 10,12,312.9,4,111.28,No,Energy bar,18,Yes,6.65,1.89,126.55,4.84,0,0,#NULL!,0,#NULL!,Yes,30.05,3.4,522.45,6.26,Yes,13.75,2.62,225,5.42,Yes,23.2,3.14,389.75,5.97,1,No,No,Other,No,No,No,No,Yes,Yes,22,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
4837-EQRKWX-5DS,Zone 2,1,Female,53,50-64,September,12,High school degree,Managerial and Professional,Yes,13,11 to 15,No,73,4.29,$50 - $74,2.7,0.74,-0.3,1.23,0.21,No,Somewhat satisfied,Unmarried,-1,Not married,1,0,0,0,0,0,0,0,0,Own,Single-family,26,More than 25,3,Lease,Import,22.9,Standard,Yes,No,Car,Single occupancy,29,Yes,No,No,Yes,No,No,0,No,0,No,No response,Slightly conservative,No,No,No,Visa,Platinum,None,No,14,4,Discover,Gold,Other,No,6,6 to 10,18,1239.78,4,202.89,No,Cereal,29,Yes,5.8,1.76,176.95,5.18,0,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,No,0,#NULL!,0,#NULL!,0,No,No,None,Yes,No,No,No,No,Yes,23,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
7381-ETAGPW-XZZ,Zone 1,3,Male,46,35-49,August,20,Post-undergraduate degree,Managerial and Professional,No,8,6 to 10,No,131,4.88,$125+,9.3,3.86,1.35,8.32,2.12,Yes,Somewhat satisfied,Married,20,Post-undergraduate degree,3,1,1,0,0,0,0,0,0,Own,Single-family,11,8 to 15,2,Own,Import,67.6,Luxury,No,No,Walk,Non-motorized,16,No,No,No,Yes,No,No,1,Yes,0,No,No response,Conservative,No,No,Yes,Visa,Platinum,None,Yes,11,4,Mastercard,Gold,1,No,8,6 to 10,10,214.48,3,70.59,No,Cereal,27,No,4.8,1.57,140.4,4.94,1,20.25,3.01,503.65,6.22,Yes,37.8,3.63,983.65,6.89,Yes,22.75,3.12,595,6.39,Yes,43.45,3.77,1050.65,6.96,1,Yes,No,Other,No,Yes,Yes,Yes,No,Yes,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
